Name,ID,Phase,Status,Priority,Type,Area,Depends On,Description,Acceptance Criteria
Set up Log Analytics and diagnostic settings,P3-19,P03 Infrastructure as Code,Backlog,Should,Build,"Terraform, Observability, Cost",P3-07,Workspace plus AKS control plane diagnostics. Pick only the log categories you need and consider the Basic logs tier to control cost.,Control plane logs visible; expected monthly ingest estimated.
Configure disk encryption,P3-20,P03 Infrastructure as Code,Backlog,Should,Decision,"Terraform, Storage, Security",P3-13,Platform-managed keys are the default. Decide whether to add a Disk Encryption Set with a customer-managed key in Key Vault.,"Choice recorded; if CMK, the DES exists and the StorageClass references it."
Create GitHub Actions OIDC identity in Entra ID,P3-21,P03 Infrastructure as Code,Backlog,Must,Build,"Terraform, IAM, CI/CD",P3-03,"App registration or UAMI with federated credentials for the repo (branch main, pull_request, environments). Separate identities for infra and app pipelines with scoped roles.",A workflow logs in with azure/login and OIDC; no client secret exists anywhere.
Create default Premium SSD StorageClass,P4-01,P04 Cluster Platform Services,Backlog,Must,Config,"Kubernetes, Storage","P3-09, P3-20","Azure Disk CSI StorageClass with Premium_ZRS, WaitForFirstConsumer, allowVolumeExpansion, marked default. Remove the default flag from the built-in class.",kubectl get sc shows only this class as default.
Create VolumeSnapshotClass,P4-02,P04 Cluster Platform Services,Backlog,Must,Config,"Kubernetes, Storage",P3-09,"Snapshot class for disk.csi.azure.com, incremental snapshots.",A test VolumeSnapshot reaches readyToUse true.
Install Traefik behind an Azure Standard Load Balancer,P4-03,P04 Cluster Platform Services,Backlog,Must,Build,"Kubernetes, Ingress",P3-07,Install Traefik via Helm (managed by ArgoCD later). Service type LoadBalancer with a static public IP and health probe annotations.,Traefik reachable on the public IP; dashboard not exposed publicly.
Install cert-manager with a Let's Encrypt ClusterIssuer,P4-04,P04 Cluster Platform Services,Backlog,Must,Build,"Kubernetes, TLS","P4-03, P3-18",Staging and production ClusterIssuers. HTTP-01 through Traefik or DNS-01 through Azure DNS with Workload ID.,A test Certificate is issued by Let's Encrypt production.
Install ExternalDNS for Azure DNS,P4-05,P04 Cluster Platform Services,Backlog,Must,Build,"Kubernetes, DNS","P3-15, P3-18","Workload ID auth, domain filter on your zone, TXT registry so it only touches records it owns.",Creating an Ingress creates the A record automatically.
Install External Secrets Operator and a ClusterSecretStore,P4-06,P04 Cluster Platform Services,Backlog,Must,Build,"Kubernetes, Secrets","P3-18, P0-10",ESO with a ClusterSecretStore pointing at Key Vault via Workload ID. Skip if P0-10 chose the CSI driver and do a SecretProviderClass instead.,A test ExternalSecret syncs a Key Vault value into a Kubernetes Secret.
"Create namespaces, quotas and pod security",P4-07,P04 Cluster Platform Services,Backlog,Should,Config,"Kubernetes, Security",P3-07,"Namespaces for platform, data and apps. Pod Security Admission at restricted where possible, ResourceQuotas and LimitRanges.",Privileged pods rejected in app namespaces.
Deploy PostgreSQL StatefulSet,P5-01,P05 Data Layer,Backlog,Must,Build,"Kubernetes, Database","P4-01, P4-06","Single-replica StatefulSet with a 20Gi volumeClaimTemplate on the Premium SSD class, credentials from Key Vault, probes, resource requests, pinned image.",Postgres Ready; data survives a pod delete.
Deploy Redis StatefulSet with AOF,P5-02,P05 Data Layer,Backlog,Must,Build,"Kubernetes, Cache","P4-01, P4-06","Redis with appendonly yes on a 10Gi PVC, password from Key Vault, probes and a pinned image.",Keys survive a pod delete; AOF file present on the volume.
Keep stateful pods off spot and spread safely,P5-03,P05 Data Layer,Backlog,Must,Config,"Kubernetes, Database, Scaling","P5-01, P5-02, P3-08","Node affinity to on-demand nodes, PDB to block voluntary eviction, priority class. Record what happens to a ZRS vs LRS disk when the pod moves zone.",Stateful pods never land on spot; zone behaviour documented.
Design the database migration strategy,P5-04,P05 Data Layer,Backlog,Must,Decision,"Database, CI/CD",P0-02,"Seven services share one database. Pick Job, init container or pre-sync hook, a migration tool, and an expand/contract pattern for rollback.",ADR written; covers the add-a-column scenario from the brief.
Implement the migration Job,P5-05,P05 Data Layer,Backlog,Must,Build,"Database, Kubernetes","P5-04, P5-01","Migration Job run as an ArgoCD PreSync hook (or equivalent) before app rollouts, idempotent and locked so two runs cannot collide.",A new migration applies once on sync; failure blocks the app rollout.
Take a volume snapshot and restore it,P5-06,P05 Data Layer,Backlog,Must,Test,"Storage, Database","P4-02, P5-01","Snapshot the Postgres PVC, create a new PVC from it, start Postgres on the restored volume and check the data.",Restored database contains the rows written before the snapshot; steps recorded as a runbook.
Schedule regular disk snapshots,P5-07,P05 Data Layer,Backlog,Should,Build,"Storage, Database",P5-06,"CronJob creating VolumeSnapshots with retention, or Azure Backup for AKS.",Snapshots appear on schedule and old ones are pruned.
Create Kustomize base per service,P6-01,P06 Kubernetes Manifests,Backlog,Must,Build,"Kubernetes, Services","P0-06, P0-02","Deployment, Service and ServiceAccount per service. Probes, requests and limits, securityContext non-root and read-only root filesystem.",kustomize build renders valid manifests for all nine services.
Create the dev overlay,P6-02,P06 Kubernetes Manifests,Backlog,Must,Build,Kubernetes,P6-01,"Overlay with image tags, replica counts and env-specific config. This is where CI bumps image tags.",kustomize build overlays/dev renders all services with dev settings.
Configure zero-downtime rolling updates,P6-03,P06 Kubernetes Manifests,Backlog,Must,Config,"Kubernetes, Deployments","P6-01, P1-06, P1-08","RollingUpdate maxUnavailable 0 and maxSurge 1, readiness gates traffic, preStop sleep, progressDeadlineSeconds so a bad rollout fails fast.",A rollout under load produces no errors; a broken image fails the rollout instead of taking traffic.
Add PodDisruptionBudgets and topology spread,P6-04,P06 Kubernetes Manifests,Backlog,Must,Config,"Kubernetes, Deployments",P6-01,PDBs for every multi-replica service; topologySpreadConstraints across zones.,Draining a node never drops a service to zero ready pods.
Wire ServiceAccounts to Workload Identity,P6-05,P06 Kubernetes Manifests,Backlog,Must,Config,"Kubernetes, IAM","P6-01, P3-16",Annotate ServiceAccounts with the client ID of each managed identity and label pods azure.workload.identity/use.,Each service reaches Service Bus or Key Vault with its own identity and nothing else.
Create ExternalSecrets per service,P6-06,P06 Kubernetes Manifests,Backlog,Must,Config,"Kubernetes, Secrets","P4-06, P6-01","One ExternalSecret per service, pulling only the keys it needs. Add Reloader (or checksum annotations) so rotation rolls only affected pods.",No Secret manifests in git; rotating one key restarts only the services that use it.
Create Ingress with TLS and path routing,P6-07,P06 Kubernetes Manifests,Backlog,Must,Build,"Kubernetes, Ingress, TLS","P4-03, P4-04, P4-05","Single Ingress (or Traefik IngressRoute) for the domain, TLS from cert-manager, routes to api-gateway and dashboard-api as the code requires.",https://<domain> serves the dashboard with a valid certificate; API paths hit the gateway.
Add NetworkPolicies,P6-08,P06 Kubernetes Manifests,Backlog,Should,Config,"Kubernetes, Security",P6-01,"Default deny per namespace, then allow only the calls in the service catalogue (for example only services that need it can reach Postgres).",A pod without an allow rule cannot reach Postgres or other services.
Configure autoscaling per service,P6-09,P06 Kubernetes Manifests,Backlog,Must,Build,"Kubernetes, Scaling","P0-08, P6-01","HPA on CPU for the HTTP services, KEDA on Service Bus queue length for the worker, fixed replicas for scheduler and stateful sets.",Load test triggers scale-out; worker scales with queue depth.
Place eviction-tolerant workloads on spot,P6-10,P06 Kubernetes Manifests,Backlog,Should,Config,"Kubernetes, Scaling, Cost","P3-08, P6-01","Tolerations and affinity for stateless services that survive eviction. Keep payment, scheduler and stateful pods on on-demand nodes.",Spot eviction of a node causes no failed orders.
Deploy the scheduler as CronJobs or a Deployment,P6-11,P06 Kubernetes Manifests,Backlog,Must,Build,"Kubernetes, Services","P6-01, P0-02",Decide from the code whether scheduler runs as a long-lived process or Kubernetes CronJobs. Ensure only one instance runs a job at a time.,Expired reservations and abandoned orders are cleaned up on schedule with no duplicate runs.
Install ArgoCD,P7-01,P07 GitOps with ArgoCD,Backlog,Must,Build,"ArgoCD, Kubernetes",P3-07,"Install via Helm or manifests, admin via Entra SSO or at least a rotated admin password, UI not exposed publicly without auth.",ArgoCD UI reachable securely; repo connected.
Create the App-of-Apps root Application,P7-02,P07 GitOps with ArgoCD,Backlog,Must,Build,ArgoCD,P7-01,"Root Application pointing at argocd/apps, which holds child Applications for platform components, data layer and each service.",Syncing the root creates every child Application.
Move platform components under ArgoCD,P7-03,P07 GitOps with ArgoCD,Backlog,Must,Config,"ArgoCD, Kubernetes","P7-02, P4-03, P4-04, P4-05, P4-06","Traefik, cert-manager, ExternalDNS, ESO, StorageClass and snapshot class all managed as ArgoCD Applications.",Deleting a platform resource by hand gets it recreated by ArgoCD.
Order syncs with sync waves,P7-04,P07 GitOps with ArgoCD,Backlog,Must,Config,ArgoCD,P7-02,"Waves: CRDs and platform first, then data layer, then migrations, then services.",A fresh cluster bootstraps from the root app in the right order without manual steps.
Enable auto-sync on the dev overlay,P7-05,P07 GitOps with ArgoCD,Backlog,Must,Config,ArgoCD,"P7-02, P6-02",Automated sync with prune and self-heal for dev.,A merged tag bump deploys without anyone clicking sync.
Define the rollback path for a single service,P7-06,P07 GitOps with ArgoCD,Backlog,Must,Docs,"ArgoCD, Deployments",P7-05,Git revert of the tag bump as the standard rollback; note how auto-sync interacts with argocd app rollback. Keep each service a separate Application so one rollback does not touch the other eight.,Runbook written and exercised in P9-05.
Build the infra pipeline,P8-01,P08 CI/CD Pipelines,Backlog,Must,Build,"CI/CD, Terraform","P3-21, P3-02","GitHub Actions on infra/** only: fmt, validate, tflint, plan on PR with the plan posted as a comment; apply on merge to main behind an environment approval.",A PR touching infra shows a plan; merging applies it; app-only PRs do not trigger it.
Build the app pipeline with change detection,P8-02,P08 CI/CD Pipelines,Backlog,Must,Build,"CI/CD, Docker","P3-21, P2-03",Workflow on apps/** with a per-service matrix from a path filter so only changed services build.,Changing one service builds only that service.
Add image scanning gate,P8-03,P08 CI/CD Pipelines,Backlog,Must,Build,"CI/CD, Security","P8-02, P2-04",Trivy scan in CI fails the job on HIGH or CRITICAL before the image is pushed. Upload SARIF to GitHub code scanning.,A vulnerable test image fails the pipeline and never reaches ACR.
Push images to ACR with immutable tags,P8-04,P08 CI/CD Pipelines,Backlog,Must,Build,"CI/CD, ACR","P8-03, P3-11","Log in to ACR via OIDC, tag with the commit SHA, never reuse tags.",Images in ACR tagged by SHA; no latest tag used in manifests.
Bump image tags in the dev overlay,P8-05,P08 CI/CD Pipelines,Backlog,Must,Build,"CI/CD, GitOps","P8-04, P6-02","After a successful push, update the overlay image tag (kustomize edit set image) and commit or open a PR, which ArgoCD then syncs.",Push to payment-service ends with only payment-service redeployed.
Validate manifests in CI,P8-06,P08 CI/CD Pipelines,Backlog,Should,Build,"CI/CD, Kubernetes",P6-02,kustomize build plus kubeconform (and optionally kube-linter or Checkov) on PRs touching k8s/.,An invalid manifest fails the PR check.
Protect main and set up environments,P8-07,P08 CI/CD Pipelines,Backlog,Must,Config,"CI/CD, Security","P8-01, P8-02","Branch protection with required checks, GitHub environments for apply with reviewers, OIDC subjects bound to those environments.",Direct pushes to main blocked; apply needs approval.
Confirm all nine services healthy on AKS,P9-01,P09 Verification and Resilience,Backlog,Must,Test,"Services, Kubernetes","P7-05, P6-07","All Deployments available, no crash loops, readiness green.",kubectl get pods shows all nine services Ready; ArgoCD all Synced and Healthy.
Run the end-to-end flow through the dashboard,P9-02,P09 Verification and Resilience,Backlog,Must,Test,"Services, Messaging",P9-01,"Create order, reserve inventory, process payment, ship, deliver, all from the dashboard over HTTPS at the real DNS name.",Order reaches delivered; screenshots or recording captured.
Prove persistence across pod restarts,P9-03,P09 Verification and Resilience,Backlog,Must,Test,"Database, Cache",P9-02,Delete the Postgres and Redis pods and confirm data survives.,Orders and cache keys still present after restart.
Test a zero-downtime rollout under load,P9-04,P09 Verification and Resilience,Backlog,Must,Test,Deployments,"P9-01, P6-03",Run a load generator (k6 or hey) while deploying a new version of a service.,Zero failed requests during the rollout.
Drill: roll back a bad image,P9-05,P09 Verification and Resilience,Backlog,Must,Test,"Deployments, ArgoCD","P7-06, P9-01","Push a broken notification-service image, watch the rollout fail, roll back via git revert. Time it.",Other eight services unaffected; rollback time recorded.
Test dead-lettering after repeated failures,P9-06,P09 Verification and Resilience,Backlog,Must,Test,Messaging,"P9-02, P3-12",Send a poison event and confirm it lands in the DLQ after max_delivery_count. Decide how DLQ messages get inspected and replayed.,Poison message in DLQ; replay procedure documented.
Test payment-service outage behaviour,P9-07,P09 Verification and Resilience,Backlog,Should,Test,"Services, Messaging",P9-02,Scale payment-service to zero for two minutes mid-flow and see what happens to in-flight orders.,Orders resume or fail with a clear status once payment is back; behaviour documented.
Test secret rotation,P9-08,P09 Verification and Resilience,Backlog,Must,Test,Secrets,"P6-06, P9-01","Rotate the database password in Key Vault and Postgres, watch it propagate. Note which deployments restart.",Services recover with the new password; restart scope matches the design.
Test zone failure and pod rescheduling,P9-09,P09 Verification and Resilience,Backlog,Should,Test,"Storage, AKS","P5-03, P9-01",Cordon and drain nodes in one zone and watch Postgres move. Confirm ZRS disk attaches in another zone.,Postgres comes back in a different zone with its data.
Audit for hardcoded secrets and long-lived credentials,P9-10,P09 Verification and Resilience,Backlog,Must,Test,"Security, Secrets",P8-07,"Run gitleaks over the repo history, confirm no client secrets on any app registration, no storage keys in pipelines.",gitleaks clean; no credentials with an expiry exist for CI or workloads.
Confirm the pipeline deploys only what changed,P9-11,P09 Verification and Resilience,Backlog,Must,Test,CI/CD,P8-05,Make a one-line change to payment-service and follow it through CI and ArgoCD.,Only payment-service builds and redeploys; captured for the README walkthrough.
Write README: architecture decisions,P10-01,P10 Documentation,Backlog,Must,Docs,"Docs, Architecture","P0-05, P0-06, P0-07","What was built, why, and what was traded off. Include StatefulSet vs Flexible Server and Kustomize vs Helm.","Section links to the ADRs and makes real decisions, not filler."
Write README: deployment pipeline walkthrough,P10-02,P10 Documentation,Backlog,Must,Docs,"Docs, CI/CD",P9-11,Commit to live traffic for a payment-service change; how infra and app changes stay apart; where ArgoCD fits.,A reader can follow the flow step by step.
Write README: secrets management,P10-03,P10 Documentation,Backlog,Must,Docs,"Docs, Secrets",P9-08,Key Vault to pod path and what happens on rotation.,Matches the tested behaviour from P9-08.
Write README: storage and restore,P10-04,P10 Documentation,Backlog,Must,Docs,"Docs, Storage",P5-06,"How the PVC is backed, encryption choice, snapshots, tested restore procedure.",Restore procedure copied from the tested runbook.
Write README: scaling strategy,P10-05,P10 Documentation,Backlog,Must,Docs,"Docs, Scaling",P6-09,"Which services scale, on what metric, what stays fixed, what breaks first under load.",Backed by load test results.
Write README: database migrations,P10-06,P10 Documentation,Backlog,Must,Docs,"Docs, Database",P5-05,"How schema changes are applied and rolled back, including the add-a-column scenario.",Section matches the implemented Job.
Write README: observability stack comparison,P10-07,P10 Documentation,Backlog,Must,Docs,"Docs, Observability, Cost",P0-09,"Cost at this scale, ingest pricing, retention, ops burden, lock-in, and the pick for a real team.",Includes a cost table with sources.
Answer the Things to Consider questions,P10-08,P10 Documentation,Backlog,Should,Docs,Docs,"P9-06, P9-07, P9-09","Short answers to each scenario in the brief: zone moves, DLQ, payment outage, column changes, bad image, spot, logging cost, password rotation, single-zone disks.","Every question answered, with evidence from drills where available."
Draw the architecture diagram,P10-09,P10 Documentation,Backlog,Should,Docs,"Docs, Architecture",P9-02,"One diagram showing network, cluster, data, messaging, CI/CD and GitOps flows.",Diagram embedded in the README.
Prepare to explain every resource,P10-10,P10 Documentation,Backlog,Must,Docs,Docs,P10-01,Walk the Terraform and manifests and make sure you can justify each resource. Delete anything you cannot explain.,Resource inventory list with a one-line reason each.
Deploy the chosen observability stack,P11-01,P11 Advanced (Stretch),Backlog,Stretch,Build,Observability,"P0-09, P7-03","Install New Relic, kube-prometheus-stack or Managed Prometheus plus Grafana per the P0-09 decision.",Metrics from all nine services and the data layer visible.
Build service-level dashboards (RED and saturation),P11-02,P11 Advanced (Stretch),Backlog,Stretch,Build,Observability,P11-01,"RED metrics for the API layer, saturation for Postgres, Redis and Service Bus, grouped by service rather than pod.","Can answer which service, when it started, what changed and who is affected within 10 minutes without kubectl exec."
Configure alerts routed to a human,P11-03,P11 Advanced (Stretch),Backlog,Stretch,Build,Observability,P11-01,"A small set of alerts that mean something (error rate, latency, DLQ depth, disk fill) routed to email, Slack or similar.",A test alert reaches the channel.
Run an OpenTelemetry collector,P11-04,P11 Advanced (Stretch),Backlog,Stretch,Build,"Observability, Tracing",P11-01,"OTel collector in the cluster exporting via OTLP to Tempo, Jaeger or New Relic.",Collector receives and exports spans.
